,name,duration,ratings,votes,user_review,Type,Episodes,start_year,end_year,genre1,genre2,rank
85,Azumanga daiô,24.0,8.2,3164,32,TV-PG,26,2002,2002,Comedy,,86
416,Barakamon,24.0,8.2,3807,11,TV-PG,12,2014,2014,Comedy,Drama,417
69,Mezon Ikkoku,25.0,8.2,1154,9,TV-14,96,1986,1988,Comedy,Drama,70
52,Trigun,24.0,8.2,22717,101,TV-14,26,1998,1998,Action,Adventure,53
307,Gyakkyô burai Kaiji,23.0,8.2,3375,15,TV-14,52,2007,2011,Action,Thriller,308
267,Hokuto no Ken,25.0,8.2,3311,22,TV-14,152,1984,1988,Action,Adventure,268
16,Ano hi mita hana no namae o bokutachi wa mada shiranai.,23.0,8.2,14582,72,TV-PG,11,2011,2011,Adventure,Drama,17
17,Hellsing Ultimate,50.0,8.2,24503,62,Not Rated,10,2006,2012,Action,Fantasy,18
20,Baccano!,24.0,8.2,12165,28,TV-MA,16,2007,2008,Action,Adventure,21
21,Psycho-Pass,25.0,8.2,20260,61,TV-MA,41,2012,2025,Action,Crime,22
243,Ranma ½: Nettô-hen,30.0,8.2,1643,17,TV-PG,144,1989,1992,Action,Comedy,244
24,Mahô shôjo Madoka magika: Puella Magi Madoka Magica,24.0,8.2,10271,46,TV-14,12,2011,2011,Drama,Fantasy,25
27,Sakamichi no Apollon,24.0,8.2,3129,18,TV-14,12,2012,2012,Drama,Music,28
43,Ôran kôkô hosutobu,24.0,8.2,10711,46,TV-14,26,2006,2006,Comedy,Romance,44
47,Fate/Zero,24.0,8.2,13718,43,TV-MA,31,2011,2012,Action,Adventure,48
302,Diamond No Ace,24.0,8.2,1250,9,Not Rated,126,2013,2016,Sport,,303
277,Uchû senkan Yamato,30.0,8.1,639,7,Not Rated,26,1974,1975,Action,Adventure,278
371,Tantei gakuen Q,23.0,8.1,301,4,Not Rated,45,2003,2004,Adventure,Comedy,372
63,Kidô Senshi Gundam 00,24.0,8.1,2522,5,TV-PG,50,2007,2009,Action,Drama,64
70,Purinsesu Chuchu,30.0,8.1,1079,17,TV-14,26,2002,2003,Adventure,Comedy,71
61,Kaiba,24.0,8.1,1811,6,TV-MA,12,2008,2008,Adventure,Drama,62
158,Chihayafuru,22.0,8.1,1410,6,TV-14,74,2011,2025,Comedy,Drama,159
95,Serial Experiments Lain,24.307692307692307,8.1,14942,92,TV-14,13,1998,1998,Drama,Horror,96
182,Kamisama hajimemashita,23.0,8.1,4283,24,TV-PG,31,2012,2016,Comedy,Fantasy,183
