,name,duration,ratings,votes,user_review,Type,Episodes,start_year,end_year,genre1,genre2,rank
219,Sukurappudo purinsesu,23.0,7.4,762,5,TV-14,24,2003,2003,Adventure,Comedy,220
201,Koi kaze,25.0,7.4,448,6,Not Rated,13,2004,2004,Drama,Romance,202
193,Suisei no Gargantia,24.0,7.4,1727,11,TV-14,15,2013,2025,Adventure,Drama,194
184,Itazura na Kiss,24.0,7.3,1671,9,Not Rated,25,2008,2008,Comedy,Drama,185
152,Tsubasa kuronikuru,25.0,7.3,1320,6,TV-PG,52,2005,2010,Action,Adventure,153
366,Banbû brêdo,24.0,7.3,302,1,TV-PG,26,2007,2008,Comedy,Drama,367
363,Ga-rei: Zero,24.0,7.3,733,6,TV-MA,12,2008,2025,Action,Drama,364
345,Takahashi Rumiko gekijô: Ningyo no mori,22.0,7.3,170,5,Not Rated,13,2003,2025,Adventure,Drama,346
341,Meiken Jolie,24.0,7.3,914,8,TV-G,52,1981,1982,Adventure,,342
191,Working!!,24.0,7.3,660,3,Not Rated,40,2010,2015,Comedy,Drama,192
239,Yu-Gi-Oh!,24.0,7.3,22066,70,TV-Y,224,2000,2006,Action,Adventure,240
339,Dâti pea,25.0,7.3,225,3,TV-14,26,1985,1988,Action,Adventure,340
315,Boogiepop Phantom: Boogiepop wa Warawanai,24.0,7.3,996,7,TV-14,12,2000,2000,Drama,Horror,316
337,Baburugamu kuraishisu,25.0,7.3,1593,20,TV-MA,8,1987,1991,Action,Fantasy,338
197,Tokyo Ravens,24.0,7.3,1317,2,TV-14,24,2013,2014,Action,Comedy,198
330,Haha wo tazunete sanzenri,25.0,7.3,944,4,TV-MA,52,1976,1976,Adventure,Drama,331
329,Mahô no yousei Persia,24.0,7.3,57,1,Not Rated,48,1984,1985,Family,Comedy,330
171,Sekirei,23.0,7.3,2566,16,TV-MA,26,2008,2010,Action,Comedy,172
322,Dragon League,30.0,7.3,29,1,Not Rated,6,1993,1994,Adventure,Fantasy,323
340,Shin Majingâ shôgeki! Z hen,23.0,7.3,256,2,Not Rated,1,2009,2025,Sci-Fi,,341
172,Chobits,23.0,7.3,4550,24,TV-14,27,2002,2003,Comedy,Drama,173
434,Gugure! Kokkuri-san,24.0,7.3,265,4,TV-14,12,2014,2014,Comedy,Fantasy,435
222,Abenobashi mahô shôtengai,24.0,7.3,684,7,TV-14,13,2002,2025,Action,Adventure,223
487,Purasutikku Memorîzu,24.0,7.3,2472,13,TV-14,13,2015,2015,Drama,Romance,488
229,Petto shoppu obu horazu,25.0,7.3,1079,6,TV-14,4,1999,1999,Fantasy,Horror,230
206,Gosick,24.0,7.3,1376,13,TV-MA,24,2011,2011,Comedy,Drama,207
447,Shingeki no Bahamut: Genesis,24.0,7.3,1577,2,TV-14,13,2014,2014,Action,Adventure,448
451,Majikku Kaito 1412,25.0,7.3,482,2,Not Rated,24,2014,2015,Adventure,Comedy,452
292,IGPX: Immortal Grand Prix,24.0,7.3,276,3,TV-Y7,26,2005,2006,Action,Sci-Fi,293
441,Soredemo sekai wa utsukushii,23.0,7.3,935,13,TV-14,12,2014,2025,Adventure,Fantasy,442
223,Gunslinger Girl,24.0,7.3,2259,23,TV-14,13,2003,2004,Action,Drama,224
454,Magic Kaito,25.0,7.3,341,3,Not Rated,12,2010,2012,Adventure,Comedy,455
117,Vanpaia naito,24.0,7.3,5491,23,TV-14,26,2008,2008,Action,Drama,118
396,Watashi ga motenai no wa dô kangaetemo omaera ga warui!,25.0,7.2,2251,11,TV-14,13,2013,2013,Comedy,Drama,397
471,Shakugan no Shana II,24.0,7.2,558,3,TV-14,28,2007,2008,Action,Adventure,472
473,Seto no hanayome,24.0,7.2,818,5,TV-MA,26,2007,2007,Comedy,Fantasy,474
480,Bokura wa minna kawaisou,24.0,7.2,711,7,Not Rated,13,2014,2015,Comedy,Drama,481
262,Zatch Bell!,25.0,7.2,1082,16,TV-Y7,153,2003,2025,Action,Adventure,263
162,Gantz,22.0,7.2,8193,63,TV-MA,26,2004,2004,Action,Drama,163
342,Aria: The Animation,24.0,7.2,415,3,TV-PG,57,2005,2025,Comedy,Drama,343
391,Toriko,24.0,7.2,570,2,TV-PG,149,2009,2014,Action,Adventure,392
258,Tonari no kaibutsu-kun,24.0,7.2,4453,16,Not Rated,13,2012,2012,Comedy,Romance,259
224,RahXephon,25.0,7.2,1718,18,TV-14,26,2002,2002,Action,Drama,225
123,Gakuen mokushiroku: HIGHSCHOOL OF THE DEAD,24.0,7.2,14089,56,TV-MA,12,2010,2010,Action,Drama,124
226,Witch Hunter Robin,25.0,7.2,2115,20,TV-PG,26,2002,2003,Action,Adventure,227
378,Yattâman,24.0,7.2,210,1,Not Rated,108,1977,1979,Adventure,Comedy,379
325,Mahha GoGoGo,30.0,7.2,3116,28,TV-Y7,52,1967,1968,Action,Adventure,326
151,Aa Megamisama,25.0,7.2,1221,8,TV-PG,27,2005,2005,Comedy,Drama,152
488,Kekkai Sensen,24.0,7.2,2346,8,TV-14,27,2015,2017,Action,Adventure,489
176,Sora no otoshimono,20.923076923076923,7.2,1947,12,TV-MA,26,2009,2010,Action,Comedy,177
194,Watashi ga motenai no wa dô kangaetemo omaera ga warui!,25.0,7.2,2251,11,TV-14,13,2013,2013,Comedy,Drama,195
178,Kaze no stigma,24.0,7.2,1775,10,TV-14,24,2007,2007,Action,Comedy,179
321,Saber Marionette J Again,50.0,7.2,113,3,Not Rated,6,1997,1998,Action,Comedy,322
295,Noir,25.0,7.2,1999,26,TV-14,26,2001,2002,Action,Crime,296
298,Buru Jenda,23.0,7.2,1264,12,TV-MA,26,1999,2000,Action,Sci-Fi,299
185,Nisekoi,25.0,7.2,3761,18,TV-PG,36,2014,2016,Comedy,Romance,186
286,Sunabôzu,24.166666666666668,7.2,1386,8,TV-MA,24,2004,2005,Action,Comedy,287
273,Seikai no senki,25.0,7.2,407,2,TV-PG,25,2000,2005,Action,Romance,274
180,Baka to Test to Shoukanjuu,25.0,7.2,1404,4,TV-14,28,2010,2011,Comedy,Fantasy,181
189,Kyoukai no kanata,24.0,7.2,2638,11,TV-PG,18,2013,2025,Action,Comedy,190
296,Madlax,25.0,7.2,338,5,TV-14,26,2004,2025,Action,Drama,297
381,Mahô shôjo Lalabelle,24.0,7.1,43,1,Not Rated,49,1980,1981,Family,Comedy,382
377,Chikyû shôjo Arjuna,25.0,7.1,486,17,Not Rated,13,2001,2001,Drama,Fantasy,378
203,Strawberry Panic,25.0,7.1,731,7,TV-PG,26,2006,2006,Drama,Romance,204
299,Chrono Crusade,23.0,7.1,1601,12,TV-14,27,2003,2004,Action,Adventure,300
374,Mamarêdo bôi,30.0,7.1,483,8,Not Rated,76,1994,2005,Comedy,Drama,375
181,Munemoshune no musume tachi,45.0,7.1,2064,13,TV-MA,6,2008,2008,Action,Drama,182
238,B-gata H-kei,25.0,7.1,1556,8,TV-MA,12,2010,2010,Comedy,Drama,239
266,PandoraHearts,24.0,7.1,795,6,Not Rated,25,2009,2009,Action,Fantasy,267
233,Speed Grapher,25.0,7.1,995,7,TV-MA,24,2005,2005,Action,Adventure,234
357,Air Gear,25.0,7.1,1325,5,TV-MA,26,2006,2025,Action,Comedy,358
414,Aldnoah.Zero,25.0,7.1,2328,17,TV-14,24,2014,2025,Action,Adventure,415
294,Hiroikku eiji,24.0,7.1,553,3,TV-PG,26,2007,2007,Action,Adventure,295
422,Mahouka koukou no rettousei,22.0,7.1,3703,18,TV-14,39,2014,2025,Action,Drama,423
443,Seitokai yakuindomo,24.6737765518378,7.1,671,3,Not Rated,44,2010,2025,Comedy,Drama,444
282,Bobobo-bo Bo-bobo,26.0,7.1,928,16,TV-Y7,76,2003,2005,Action,Adventure,283
459,Trinity Blood,25.0,7.1,2809,20,TV-MA,24,2005,2005,Action,Drama,460
460,Ayashi no Ceres,21.0,7.1,492,16,TV-MA,24,2000,2000,Adventure,Comedy,461
472,Shakugan no Shana III: Final,30.0,7.1,348,1,TV-14,24,2011,2012,Action,,473
359,Shikabane hime kuro,24.0,7.1,288,2,TV-MA,13,2009,2009,Action,Drama,360
131,Deadman Wonderland,24.0,7.1,11197,38,TV-MA,13,2011,2011,Action,Drama,132
256,Gravitation,22.0,7.1,940,20,TV-PG,13,1999,2001,Comedy,Drama,257
170,Btooom!,25.0,7.1,4361,19,TV-MA,12,2012,2012,Action,Drama,171
452,Grisaia no Kajitsu,25.0,7.0,1038,4,TV-MA,13,2014,2014,Drama,Romance,453
250,Ai yori aoshi,25.0,7.0,512,9,TV-14,36,2002,2025,Comedy,Drama,251
276,Mugen no rivaiasu,23.0,7.0,262,3,TV-PG,26,1999,2000,Adventure,Drama,277
320,Saber Marionette J to X,30.0,7.0,163,3,Not Rated,26,1998,1999,Action,Animation,321
195,Blood Lad,24.0,7.0,2202,10,TV-14,11,2013,2013,Action,Comedy,196
217,Zero no tsukaima,24.0,7.0,2252,18,TV-14,13,2006,2006,Action,Adventure,218
232,Eru kazado,25.0,7.0,378,10,Not Rated,24,2006,2025,Action,Adventure,233
136,Giruti kuraun: Guilty Crown,23.0,7.0,5327,27,TV-14,24,2011,2012,Action,Romance,137
261,Mondaiji-tachi ga isekai kara kuru sô desu yo?,24.0,7.0,977,6,TV-14,11,2013,2013,Action,Comedy,262
214,Air,24.0,7.0,1457,10,TV-14,15,2005,2005,Drama,Fantasy,215
415,Madan no Ou to Vanadis,25.0,7.0,1336,7,TV-MA,13,2014,2014,Adventure,Fantasy,416
227,Witchblade,25.0,7.0,1515,15,TV-MA,24,2006,2006,Action,Adventure,228
293,Casshern Sins,24.0,7.0,894,6,TV-MA,24,2008,2025,Action,Adventure,294
225,Vandread,25.0,7.0,892,12,TV-14,26,2000,2001,Action,Animation,226
174,To Love-Ru - Darkness,25.0,7.0,990,6,TV-14,36,2012,2017,Comedy,Drama,175
285,Black Cat,25.0,7.0,1142,6,TV-PG,25,2005,2006,Action,Crime,286
412,Amagi Brilliant Park,24.0,7.0,1232,4,TV-14,14,2014,2015,Comedy,Fantasy,413
179,Ookamisan to shichinin no nakamatachi,24.0,7.0,476,4,TV-14,12,2010,2025,Comedy,Fantasy,180
375,D.N. Angel,30.0,7.0,902,12,TV-PG,26,2003,2003,Adventure,Comedy,376
353,Sakura Wars,24.599714608628947,7.0,108,1,TV-Y7-FV,29,2000,2000,Action,Adventure,354
481,Isshuukan Friends,23.0,7.0,534,4,TV-14,24,2014,2025,Comedy,Drama,482
186,Boku wa tomodachi ga sukunai,25.0,7.0,2494,9,TV-MA,26,2011,2025,Comedy,Drama,187
252,Devil May Cry: Debiru mei kurai,24.0,7.0,5346,17,TV-MA,12,2007,2007,Action,Fantasy,253
369,Kinnikuman,23.0,7.0,176,0,Not Rated,86,1983,1986,Action,Adventure,370
469,Rozario to banpaia,25.0,6.9,3362,13,TV-14,26,2008,2008,Comedy,Fantasy,470
175,Rabu Hina,21.76,6.9,2297,39,TV-14,25,2000,2001,Comedy,Drama,176
301,Rozen Maiden,24.0,6.9,133,1,Not Rated,13,2013,2025,Comedy,Drama,302
253,Jûbê ninpûchô: Ryûhôgyoku-hen,30.0,6.9,1736,15,TV-MA,13,2003,2003,Action,Adventure,254
448,Ushinawareta Mirai wo Motomete,23.0,6.9,83,2,TV-14,13,2014,2025,Drama,Mystery,449
228,Black Blood Brothers,25.0,6.9,1236,5,TV-14,12,2006,2025,Action,Comedy,229
187,Date a Live,25.0,6.9,3508,13,TV-14,48,2013,2025,Action,Comedy,188
474,Hagure Yusha no Aestetica,24.0,6.9,1844,9,TV-MA,12,2012,2012,Action,Fantasy,475
362,Shikabane hime aka,24.0,6.9,447,5,TV-MA,13,2008,2008,Action,Adventure,363
453,Donten ni warau,25.0,6.9,266,3,Not Rated,12,2014,2025,Action,Drama,454
419,Hitsugi no Chaika,24.0,6.9,680,6,TV-14,23,2014,2025,Adventure,Comedy,420
420,Black Bullet,25.0,6.9,3034,17,TV-MA,13,2014,2014,Action,Mystery,421
156,Kore wa Zombie desu ka?,25.0,6.9,1825,6,TV-MA,25,2011,2012,Action,Comedy,157
440,Ookami shoujo to kuro ouji,24.0,6.9,2736,14,TV-14,13,2014,2025,Comedy,Romance,441
192,Strike the Blood,24.0,6.9,1750,15,Not Rated,61,2013,2025,Action,Comedy,193
355,Bannô bunka nekomusume,25.0,6.9,210,6,TV-PG,6,1992,1992,Short,Comedy,356
311,Janguru taitei,24.0,6.9,1048,16,TV-G,52,1965,1967,Adventure,Family,312
173,Onegai Teacher,25.0,6.9,1218,26,TV-PG,14,2002,2002,Comedy,Romance,174
385,Blue Seed,25.0,6.9,307,5,TV-14,26,1994,1995,Action,Adventure,386
387,Lost Universe,23.0,6.9,196,4,Not Rated,26,1998,1998,Adventure,Comedy,388
343,Saishû heiki kanojo,25.0,6.9,709,12,TV-MA,13,2002,2002,Drama,Romance,344
300,Rozen Maiden,24.0,6.9,717,5,TV-14,26,2004,2006,Adventure,Comedy,301
208,Scryed,24.192307692307693,6.9,1145,8,TV-PG,26,2001,2001,Action,Adventure,209
264,To aru majutsu no indekkusu,23.0,6.8,2093,8,TV-14,74,2008,2019,Action,Comedy,265
402,Pîchi gâru,25.0,6.8,454,5,TV-14,25,2005,2005,Drama,Romance,403
287,Busô renkin,22.307692307692307,6.8,566,2,TV-14,26,2006,2007,Action,Adventure,288
205,Shuffle!,24.0,6.8,824,4,TV-MA,24,2005,2006,Comedy,Drama,206
257,Loveless,24.0,6.8,775,6,Not Rated,12,2005,2025,Drama,Romance,258
284,Rave,24.0,6.8,326,2,TV-Y7,51,2001,2002,Action,Adventure,285
263,Tenkai Knights,30.0,6.8,104,3,TV-Y7-FV,52,2013,2025,Action,Sci-Fi,264
240,Dragon Ball GT: Doragon bôru jîtî,24.0,6.8,27536,64,TV-PG,65,1996,1997,Action,Adventure,241
372,Bokusatsu tenshi Dokuro-chan,23.0,6.8,839,4,Not Rated,6,2005,2025,Comedy,Fantasy,373
149,Kyûteî Hanî,25.0,6.8,177,3,TV-14,25,1973,1974,Action,Adventure,150
464,Freezing,24.0,6.8,1668,10,TV-MA,18,2011,2011,Action,Drama,465
198,Karneval,24.0,6.8,374,2,TV-14,13,2013,2025,Fantasy,Mystery,199
237,Campione!,24.0,6.8,1357,4,TV-MA,13,2012,2025,Action,Adventure,238
465,Mahoromatic,24.0,6.8,369,6,TV-MA,26,2001,2003,Action,Comedy,466
444,Amagami SS,24.0,6.8,509,7,TV-PG,26,2010,2011,Drama,Romance,445
314,.hack//SIGN,25.0,6.8,1362,18,TV-14,26,2002,2003,Action,Adventure,315
332,Kidô senshi Gundam ZZ,30.0,6.8,637,8,TV-Y7,47,1986,1987,Action,Comedy,333
231,Tenjô tenge,23.0,6.8,1284,8,TV-14,26,2004,2004,Action,Comedy,232
467,Kidou tenshi enjerikku reiyâ,25.0,6.8,328,4,TV-PG,26,2001,2001,Action,Comedy,468
398,Danganronpa: Kibô no gakuen to zetsubô no kôkôsei - The animation,25.0,6.8,2826,23,TV-14,13,2013,2013,Action,Crime,399
432,Garo: Honoo no kokuin,24.0,6.7,321,1,TV-MA,25,2014,2015,Action,Adventure,433
212,Kôtetsu tenshi Kurumi,24.436919707779964,6.7,187,3,TV-MA,24,1999,2000,Adventure,Comedy,213
215,Hakushaku to yôsei,24.0,6.7,308,2,TV-14,13,2008,2008,Comedy,Drama,216
438,Gokukoku no Brynhildr,22.0,6.7,1026,6,TV-MA,14,2014,2014,Action,Drama,439
457,Chôjikû kidan Sazan Kurosu,25.0,6.7,154,5,TV-PG,23,1984,1984,Sci-Fi,,458
463,Kuînzu bureido: Gyokuza o tsugu mono,24.0,6.7,338,1,TV-MA,12,2009,2009,Action,Adventure,464
356,Kasimasi: Girl Meets Girl,24.0,6.7,236,2,Not Rated,13,2006,2006,Comedy,Fantasy,357
364,Tales of the Abyss,24.0,6.7,208,4,Not Rated,26,2008,2009,Adventure,Drama,365
411,Trinity Seven: 7-nin no Masho Tsukai,24.0,6.7,2525,12,TV-14,13,2014,2015,Action,Comedy,412
270,Gilgamesh,25.0,6.7,414,5,TV-14,26,2003,2004,Drama,Sci-Fi,271
183,Tsukuyomi: Moon Phase,24.0,6.7,269,2,TV-PG,26,2004,2006,Action,Comedy,184
289,Mugen no jûnin,24.0,6.7,675,5,TV-MA,13,2008,2008,Action,Adventure,290
367,Komikku pâtî,23.0,6.7,86,1,Not Rated,13,2001,2001,Comedy,Drama,368
380,Bakuretsu hunters,20.0,6.6,161,7,Not Rated,26,1995,1996,Adventure,Comedy,381
234,Infinite Stratos,24.0,6.6,2006,8,TV-14,27,2011,2016,Action,Comedy,235
177,Ichiban ushiro no daimaou,23.0,6.6,2499,7,TV-MA,12,2010,2010,Action,Comedy,178
350,Yume de aetara,24.527952340399676,6.6,57,1,Not Rated,16,1998,1998,Comedy,Drama,351
249,Galaxy Angel,25.0,6.6,127,1,TV-14,142,2000,2005,Comedy,Sci-Fi,250
290,Kami sama no memo chô,30.0,6.6,272,2,TV-MA,12,2011,2011,Drama,Mystery,291
435,Denki-Gai no Honya-san,24.0,6.6,139,3,Not Rated,12,2014,2014,Comedy,,436
470,Dansu in za vanpaia bando,25.0,6.5,832,6,TV-MA,13,2010,2010,Action,Drama,471
399,Flag,25.0,6.5,132,3,Not Rated,14,2006,2025,Action,Sci-Fi,400
218,Girls Bravo,25.0,6.5,957,5,TV-MA,24,2004,2005,Comedy,Fantasy,219
118,The Idolm@ster,30.0,6.5,207,0,Not Rated,25,2011,2011,Drama,Music,119
361,El Hazard: Wanderers,25.0,6.5,154,2,Not Rated,26,1995,1996,Adventure,Animation,362
482,Mekakucity Actors,25.0,6.5,491,7,Not Rated,12,2014,2025,Action,Comedy,483
230,Bakuretsu tenshi,24.0,6.5,705,12,TV-14,24,2004,2004,Action,Comedy,231
442,Seirei Tsukai no Blade Dance,23.0,6.5,507,4,TV-14,12,2014,2014,Action,Comedy,443
478,Seiken no burakkusumisu,24.0,6.5,479,3,TV-MA,12,2009,2025,Adventure,Drama,479
347,Uta no prince-sama - maji love 1000%,24.0,6.5,364,4,TV-14,13,2011,2025,Comedy,Drama,348
305,Kamisama no inai nichiyôbi,22.0,6.4,289,4,TV-MA,13,2013,2025,Fantasy,Mystery,306
365,Coyote Ragtime Show,24.0,6.4,195,4,TV-14,12,2006,2006,Action,Adventure,366
211,Maburaho,25.0,6.4,277,5,TV-14,24,2003,2004,Comedy,Drama,212
468,Onegai Twins,30.0,6.4,589,4,TV-14,13,2003,2004,Comedy,Drama,469
209,Gasaraki,25.16,6.4,291,5,Not Rated,25,1998,1999,Action,Adventure,210
433,Inou-Battle wa Nichijou-kei no Naka de,24.0,6.4,508,4,TV-14,12,2014,2014,Action,Comedy,434
436,"Ore, Twintails ni Narimasu",25.0,6.4,153,1,TV-14,12,2014,2014,Action,Comedy,437
429,Tokyo ESP,25.0,6.4,291,3,TV-MA,12,2014,2025,Action,Comedy,430
236,Popotan,24.0,6.4,131,1,TV-MA,12,2003,2025,Comedy,Drama,237
456,Sora No Method,25.0,6.4,74,1,TV-PG,15,2014,2025,Drama,Fantasy,457
358,Toraburu,24.0,6.4,1439,10,TV-14,44,2008,2010,Action,Comedy,359
455,Orenchi no Furo Jijou,25.0,6.4,221,2,Not Rated,11,2014,2014,Comedy,Fantasy,456
445,Corpse Party: Tortured Souls,29.0,6.4,2074,18,TV-MA,4,2013,2013,Horror,Mystery,446
408,Terra Formars,24.0,6.4,1212,10,TV-14,27,2014,2016,Action,Horror,409
450,Ore no imouto ga konna ni kawaii wake ga nai,25.0,6.4,1585,4,TV-14,32,2010,2013,Comedy,Drama,451
283,Buru doragon,26.0,6.3,363,1,Not Rated,51,2007,2008,Action,Adventure,284
383,Ô dorobô Jing,25.0,6.3,169,2,Not Rated,13,2002,2025,Action,Adventure,384
210,Sakura Tsûshin,25.0,6.3,169,3,Not Rated,12,1997,1997,Drama,Romance,211
476,Yosuga no sora,25.0,6.2,1415,19,16+,12,2010,2025,Drama,Romance,477
196,Nobunaga za fûru,24.0,6.2,116,2,TV-14,24,2014,2025,Action,Fantasy,197
475,"Dakara Boku wa, H ga Dekinai",25.0,6.2,987,2,TV-MA,13,2012,2025,Comedy,Fantasy,476
354,Kenpufâ,24.0,6.1,407,6,TV-14,12,2009,2009,Action,Comedy,355
449,Selector Infected WIXOSS,23.0,6.1,170,2,TV-14,24,2014,2025,Fantasy,Thriller,450
213,Negima!?,30.0,6.1,274,1,TV-MA,28,2006,2008,Comedy,Drama,214
446,Shirogane no Ishi: Argevollen,23.0,6.1,73,0,TV-14,24,2014,2025,Action,Sci-Fi,447
370,H2O: Footprints in the Sand,23.0,6.1,147,2,Not Rated,12,2008,2008,Comedy,Drama,371
188,Sukûru deizu,25.0,6.0,2660,29,TV-14,12,2007,2007,Drama,Romance,189
199,Kiss x sis,24.0,6.0,2150,9,TV-MA,12,2010,2010,Comedy,Drama,200
486,Ninja Slayer,24.75113647976632,6.0,88,1,TV-14,26,2015,2025,Action,Fantasy,487
462,Ikki tôsen,24.709965721213187,5.9,1223,15,TV-MA,71,2003,2025,Action,Adventure,463
382,Najika dengeki sakusen,25.0,5.9,179,8,TV-MA,12,2001,2025,Comedy,Crime,383
235,Seikon no Qwaser,24.0,5.5,402,7,TV-MA,25,2010,2011,Action,Comedy,236
439,Glasslip,25.0,5.0,190,2,TV-14,13,2014,2025,Drama,Romance,440
